ref,kind,type,status,receiveddate,closeddate,receivedhow,receivedwhere,location,latitude,longitude
03aed1f0d13fe7818c281dc15f6c7d2e,General Request,Bonfires,Closed,14/07/2015 11:45:00 AM,11/09/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.38747270836636, -2.3786254196755339)",51.38747270836636,-2.378625419675534
eb994d8923cd65a4894db92ad8d0e640,Noise Request,Noise complaint,Closed,01/10/2015 04:38:00 PM,27/10/2015 12:00:00 AM,Telephone,In office,"(51.331799000169148, -2.6392165690484539)",51.331799000169148,-2.639216569048454
8683c64890d8280089c65e447aa606e4,Noise Request,Noise complaint,Closed,05/12/2015 01:00:00 AM,08/12/2015 12:00:00 AM,Telephone,Out of hours service,"(51.376278311656939, -2.3653742682365895)",51.376278311656939,-2.36537426823659
469ea2dcd976a687493911b2ff98504b,General Request,Accumulations (including refuse & litter,Closed,20/11/2015 10:47:00 AM,27/11/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.376736993587222, -2.3569471140029692)",51.376736993587222,-2.356947114002969
e0d0906f52ad55fc99c479f5b1d24e22,General Request,Odour/Fumes,Closed,19/03/2015 12:45:00 PM,25/03/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.382638292990627, -2.3626712978931188)",51.382638292990627,-2.362671297893119
9380247120a641e67875ecd0946bbf4d,General Request,Drainage Complaint,Closed,28/07/2015 02:57:00 PM,03/08/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.413618912700748, -2.4953076536417234)",51.413618912700748,-2.495307653641723
248d1662e7f9225e5ec46e3cbc714583,Noise Request,Noise complaint,Closed,15/05/2015 08:53:00 AM,15/05/2015 12:00:00 AM,Emergency/Out of Hours,Out of hours service,"(51.373632714838195, -2.4004271371185442)",51.373632714838195,-2.400427137118544
478167e5b340c3c6aa56a90a209af003,Noise Request,Noise complaint,Closed,15/06/2015 08:08:00 AM,02/07/2015 12:00:00 AM,Emergency/Out of Hours,In office,"(51.389145608736001, -2.3760908850252127)",51.389145608736001,-2.376090885025213
07eb9b674db56de3f30807e6b70e7108,General Request,Accumulations (including refuse & litter,Closed,27/03/2015 03:03:00 PM,28/05/2015 12:00:00 AM,Telephone,Normal Office Hours,"(51.408834015521926, -2.5105769696046236)",51.408834015521926,-2.510576969604624
e43b91b47e92dae24d8f33e3ee5f366e,General Request,Accumulations (including refuse & litter,Closed,15/01/2016 11:57:00 AM,09/02/2016 12:00:00 AM,Telephone,In office,"(51.401171852742053, -2.3941992314681881)",51.401171852742053,-2.394199231468188
